***** N = 1 *****
N       RTT           SRTT          RTT_VAR       RTO           
0       500.000000    171.875000    152.343750    781.250000    
1       500.000000    212.890625    186.035156    957.031250    
2       500.000000    248.779297    202.331543    1058.105469   
3       500.000000    280.181885    206.703186    1106.994629   
4       500.000000    307.659149    203.112602    1120.109558   
5       500.000000    331.701756    194.409013    1109.337807   
6       500.000000    352.739036    182.622001    1083.227038   
7       500.000000    371.146657    169.179836    1047.866002   
8       500.000000    387.253325    155.071546    1007.539509   
9       500.000000    401.346659    140.966995    965.214638    
10      500.000000    413.678327    127.305664    922.900985    
11      500.000000    424.468536    114.362114    881.916993    
12      500.000000    433.909969    102.294094    843.086343    
13      500.000000    442.171223    91.177765     806.882281    
14      500.000000    449.399820    81.033368     773.533294    
15      500.000000    455.724842    71.843816     743.100105    
16      500.000000    461.259237    63.568053     715.531447    
17      500.000000    466.101832    56.150581     690.704158    
18      500.000000    470.339103    49.528160     668.451744    
19      500.000000    474.046715    43.634441     648.584480    
20      500.000000    477.290876    38.403112     630.903324    
21      500.000000    480.129517    33.769955     615.209336    
22      500.000000    482.613327    29.674134     601.309864    
23      500.000000    484.786661    26.058936     589.022403    
24      500.000000    486.688328    22.872120     578.176807    
25      500.000000    488.352287    20.066018     568.616359    
26      500.000000    489.808251    17.597450     560.198053    
27      500.000000    491.082220    15.427533     552.792351    
28      500.000000    492.196943    13.521414     546.282599    
29      500.000000    493.172325    11.847979     540.564242    
30      500.000000    494.025784    10.379538     535.543938    
31      500.000000    494.772561    9.091514      531.138615    
32      500.000000    495.425991    7.962137      527.274541    
33      500.000000    495.997742    6.972168      523.886412    
34      500.000000    496.498024    6.104620      520.916503    
35      500.000000    496.935771    5.344522      518.313859    
36      500.000000    497.318800    4.678691      516.033566    
37      500.000000    497.653950    4.095531      514.036074    
38      500.000000    497.947206    3.584847      512.286593    
39      500.000000    498.203805    3.137684      510.754540    
40      500.000000    498.428330    2.746180      509.413051    
41      500.000000    498.624789    2.403438      508.238541    
42      500.000000    498.796690    2.103406      507.210314    
43      500.000000    498.947104    1.840779      506.310218    
44      500.000000    499.078716    1.610905      505.522336    
45      500.000000    499.193876    1.409710      504.832715    
46      500.000000    499.294642    1.233622      504.229129    
47      500.000000    499.382812    1.079514      503.700866    
48      500.000000    499.459960    0.944645      503.238541    
49      500.000000    499.527465    0.826618      502.833935    
50      500.000000    499.586532    0.723330      502.479853    
51      500.000000    499.638215    0.632944      502.169991    
52      500.000000    499.683439    0.553848      501.898831    
53      500.000000    499.723009    0.484634      501.661545    
54      500.000000    499.757633    0.424067      501.453902    
55      500.000000    499.787929    0.371068      501.272202    
56      500.000000    499.814437    0.324692      501.113205    
57      500.000000    499.837633    0.284111      500.974076    
58      500.000000    499.857929    0.248601      500.852332    
59      500.000000    499.875688    0.217529      500.745803    
60      500.000000    499.891227    0.190340      500.652586    
61      500.000000    499.904823    0.166549      500.571020    
62      500.000000    499.916720    0.145732      500.499647    
63      500.000000    499.927130    0.127516      500.437195    
64      500.000000    499.936239    0.111577      500.382549    
65      500.000000    499.944209    0.097631      500.334732    
66      500.000000    499.951183    0.085427      500.292892    
67      500.000000    499.957285    0.074749      500.256282    
68      500.000000    499.962625    0.065406      500.224248    
69      500.000000    499.967296    0.057230      500.196217    
70      500.000000    499.971384    0.050077      500.171691    
71      500.000000    499.974961    0.043817      500.150230    
72      500.000000    499.978091    0.038340      500.131451    
73      500.000000    499.980830    0.033548      500.115020    
74      500.000000    499.983226    0.029354      500.100643    
75      500.000000    499.985323    0.025685      500.088062    
76      500.000000    499.987157    0.022474      500.077055    
77      500.000000    499.988763    0.019665      500.067423    
78      500.000000    499.990167    0.017207      500.058995    
79      500.000000    499.991396    0.015056      500.051621    
80      500.000000    499.992472    0.013174      500.045168    
81      500.000000    499.993413    0.011527      500.039522    
82      500.000000    499.994236    0.010086      500.034582    
83      500.000000    499.994957    0.008826      500.030259    
84      500.000000    499.995587    0.007722      500.026477    
85      500.000000    499.996139    0.006757      500.023167    
86      500.000000    499.996621    0.005912      500.020271    
87      500.000000    499.997044    0.005173      500.017737    
88      500.000000    499.997413    0.004527      500.015520    
89      500.000000    499.997737    0.003961      500.013580    
90      500.000000    499.998020    0.003466      500.011883    
91      500.000000    499.998267    0.003033      500.010397    
92      500.000000    499.998484    0.002653      500.009098    
93      500.000000    499.998673    0.002322      500.007960    
94      500.000000    499.998839    0.002032      500.006965    
95      500.000000    499.998984    0.001778      500.006095    
96      500.000000    499.999111    0.001555      500.005333    
97      500.000000    499.999222    0.001361      500.004666    
98      500.000000    499.999319    0.001191      500.004083    
99      500.000000    499.999405    0.001042      500.003573    
100     500.000000    499.999479    0.000912      500.003126    
101     500.000000    499.999544    0.000798      500.002735    
